duration (seconds),emg amplitude
22.095272,9
22.096364,25
22.09756,49
22.098756,49
22.099936,4
22.101048,49
22.10224,324
22.103516,400
22.104788,169
22.10606,16
22.107256,4
22.10836,16
22.109548,9
22.110656,16
22.11184,16
22.113032,36
22.114216,81
22.115412,100
22.116688,9
22.1178,81
22.118988,441
22.12026,484
22.121536,169
22.122812,9
22.123924,1
22.12502,9
22.12612,9
22.127228,9
22.128328,25
22.129516,49
22.130704,81
22.131892,64
22.133096,1
22.1342,81
22.135388,324
22.13666,361
22.137944,196
22.13922,36
22.1404,0
22.141512,1
22.142608,0
22.143716,1
22.144816,4
22.14592,16
22.147116,49
22.148308,64
22.149496,64
22.150684,1
22.151796,169
22.153068,529
22.154344,400
22.155624,121
22.156892,0
22.157996,9
22.159096,16
22.160288,9
22.161392,16
22.162588,36
22.16378,81
22.164952,144
22.166236,64
22.167436,4
22.168536,289
22.169816,625
22.171088,361
22.172364,64
22.173556,0
22.17466,16
22.175848,16
22.17704,9
22.178144,1
22.179248,9
22.180352,25
22.181536,36
22.182732,16
22.18392,1
22.185028,81
22.186228,144
22.187492,81
22.188684,36
22.189876,9
22.190984,1
22.19208,0
22.193192,0
22.194296,1
22.1954,9
22.1965,36
22.197688,64
22.19888,9
22.199984,64
22.201176,289
22.202456,289
22.203728,121
22.205004,16
22.206196,0
22.207304,4
22.208404,1
22.209508,1
22.21062,1
22.21172,9
22.21282,36
22.214016,81
22.215192,81
22.216396,25
22.21758,9
22.21868,196
22.219968,289
22.22124,169
22.222516,36
22.2237,4
22.224804,1
22.225916,0
22.227024,0
22.228128,0
22.229232,4
22.230336,16
22.23152,36
22.232716,16
22.2339,1
22.235,64
22.2362,144
22.237484,81
22.238668,16
22.239852,1
22.240952,0
22.242056,0
22.243168,0
22.244272,0
22.245384,9
22.246484,16
22.24768,49
22.248864,4
22.249964,49
22.251152,324
22.252436,400
22.253716,144
22.254988,9
22.256084,4
22.257192,25
22.258376,16
22.259568,4
22.260676,1
22.261784,9
22.262884,36
22.264072,81
22.265264,81
22.266448,36
22.26764,25
22.268832,361
22.270124,529
22.271396,324
22.27266,49
22.273852,0
22.274956,9
22.276056,9
22.277168,9
22.27828,9
22.27938,16
22.280564,64
22.281748,64
22.282948,16
22.284136,64
22.285328,361
22.286608,441
22.28788,196
22.289156,16
22.29034,0
22.291444,9
22.29256,9
22.293664,9
22.294768,25
22.295956,49
22.297132,64
22.298324,64
22.299528,1
22.300624,196
22.301904,625
22.303184,576
22.304452,196
22.305724,4
22.306844,9
22.307944,25
22.309128,25
22.31032,16
22.311504,25
22.312696,36
22.31388,64
22.315068,81
22.316264,64
22.317468,9
22.31856,289
22.319836,484
22.321116,289
22.322396,49
22.323584,0
22.324692,1
22.325788,4
22.326888,9
22.327992,16
22.32918,36
22.33038,64
22.331556,81
22.332752,36
22.333944,16
22.335136,289
22.336412,484
22.337692,289
22.338984,49
